  date, station, SHOWALTER, lifted index, LIFT, SWEAT, K index, TT, CAPE, CINS, RICH, TEMPK, PWATER 
  12:00 04 Apr 2015,  72440,  17.33,  19.34,  19.31,  100.02,  -54.10,  13.40,  0.00,  0.00,  0.00,  260.20,  2.80
  00:00 05 Apr 2015,  72440,  15.45,  15.07,  15.01,  67.99,  -10.10,  25.80,  0.00,  0.00,  0.00,  261.12,  4.71
  12:00 05 Apr 2015,  72440,  13.59,  17.62,  17.63,  65.02,  2.50,  29.20,  0.00,  0.00,  0.00,  263.85,  9.87
  00:00 06 Apr 2015,  72440,  3.02,  12.24,  12.27,  322.27,  13.50,  46.00,  0.00,  0.00,  0.00,  278.52,  22.44
  12:00 06 Apr 2015,  72440,  0.04,  8.04,  7.86,  291.55,  26.90,  48.60,  0.00,  0.00,  0.00,  282.89,  24.94
  00:00 07 Apr 2015,  72440,  -1.74,  -2.29,  -2.83,  393.36,  31.60,  50.30,  1057.68,  -2.62,  220.31,  871.39,  11.09,  287.88,  32.25
  12:00 07 Apr 2015,  72440,  -8.00,  -4.62,  -5.02,  574.72,  30.80,  60.50,  1424.90,  -270.53,  199.01,  678.48,  32.04,  289.35,  27.81
  00:00 08 Apr 2015,  72440,  -5.32,  -6.15,  -6.84,  503.36,  23.90,  55.80,  2993.55,  -67.43,  190.53,  729.58,  49.39,  287.67,  25.00
  12:00 08 Apr 2015,  72440,  -4.73,  -4.38,  -4.93,  401.09,  26.40,  56.10,  1782.83,  -219.69,  188.82,  688.11,  88.46,  288.77,  24.50
  18:00 08 Apr 2015,  72440,  -5.45,  -6.69,  -7.34,  526.40,  30.70,  56.80,  2442.32,  -6.57,  185.33,  839.28,  71.89,  287.75,  28.36
  00:00 09 Apr 2015,  72440,  -1.63,  -3.23,  -3.44,  361.48,  27.30,  52.60,  872.70,  -196.89,  202.53,  650.13,  28.93,  284.85,  28.01
  12:00 09 Apr 2015,  72440,  -2.08,  -4.00,  -4.31,  347.39,  34.80,  52.40,  1024.91,  -30.31,  208.36,  788.66,  13.02,  287.87,  33.04
  18:00 09 Apr 2015,  72440,  -1.24,  -2.52,  -3.04,  328.11,  22.60,  50.50,  1057.03,  -5.47,  231.37,  821.71,  13.00,  285.29,  23.76
  00:00 10 Apr 2015,  72440,  11.91,  6.55,  6.32,  131.99,  -11.30,  29.40,  0.00,  0.00,  0.00,  279.23,  14.16
  12:00 10 Apr 2015,  72440,  18.34,  18.54,  18.51,  118.01,  -27.50,  20.40,  0.00,  0.00,  0.00,  272.64,  6.81
  00:00 11 Apr 2015,  72440,  10.74,  9.49,  9.44,  67.00,  8.30,  34.80,  0.00,  0.00,  0.00,  271.42,  10.00
  12:00 11 Apr 2015,  72440,  10.67,  10.32,  10.46,  58.00,  11.30,  33.80,  0.00,  0.00,  0.00,  269.22,  15.39
  00:00 12 Apr 2015,  72440,  7.71,  7.09,  7.19,  218.76,  18.80,  39.20,  0.00,  0.00,  0.00,  270.60,  17.38
  12:00 12 Apr 2015,  72440,  13.90,  8.96,  8.92,  207.35,  -16.70,  12.20,  0.00,  0.00,  0.00,  274.79,  13.70
  00:00 13 Apr 2015,  72440,  -0.01,  -0.31,  -0.68,  355.68,  26.20,  49.10,  160.94,  -156.15,  268.32,  641.15,  3.60,  282.10,  25.93
  12:00 13 Apr 2015,  72440,  3.32,  3.58,  3.40,  177.80,  29.60,  44.10,  0.00,  0.00,  0.00,  285.34,  30.16
  00:00 14 Apr 2015,  72440,  19.24,  14.60,  14.94,  103.98,  -10.10,  7.00,  0.00,  0.00,  0.00,  272.22,  19.33
  12:00 14 Apr 2015,  72440,  14.04,  15.22,  15.23,  62.00,  14.90,  28.60,  0.00,  0.00,  0.00,  270.26,  19.30
  00:00 15 Apr 2015,  72440,  9.56,  9.63,  9.72,  42.00,  20.20,  36.80,  0.00,  0.00,  0.00,  270.95,  21.44
  12:00 15 Apr 2015,  72440,  0.43,  6.04,  6.04,  158.19,  34.10,  50.20,  0.00,  0.00,  0.00,  281.74,  27.78
  00:00 16 Apr 2015,  72440,  0.58,  2.16,  1.97,  146.58,  33.60,  48.90,  0.00,  0.00,  0.00,  285.37,  27.93
  12:00 16 Apr 2015,  72440,  1.15,  0.98,  0.70,  130.80,  21.30,  49.40,  0.00,  0.00,  936.06,  941.39,  0.00,  285.82,  19.77
  00:00 17 Apr 2015,  72440,  7.10,  -1.41,  -1.81,  29.99,  6.70,  38.60,  378.58,  -147.32,  248.72,  689.69,  69.74,  284.25,  17.79
  12:00 17 Apr 2015,  72440,  -2.54,  -1.39,  -1.49,  246.20,  22.00,  53.90,  193.21,  -162.52,  372.02,  675.50,  25.53,  284.46,  23.41
  00:00 18 Apr 2015,  72440,  -2.25,  -3.53,  -3.86,  245.60,  33.60,  52.90,  641.46,  -7.60,  271.17,  791.03,  75.90,  284.79,  29.31
  12:00 18 Apr 2015,  72440,  -2.51,  -1.28,  -1.70,  248.61,  33.40,  52.70,  323.04,  -75.55,  394.91,  753.88,  46.42,  286.05,  31.01
  00:00 19 Apr 2015,  72440,  0.01,  -1.55,  -1.93,  332.30,  34.50,  50.30,  366.85,  -27.77,  351.32,  798.13,  13.78,  285.73,  25.62
  12:00 19 Apr 2015,  72440,  0.55,  3.38,  3.25,  159.60,  34.30,  49.60,  0.00,  0.00,  0.00,  283.28,  24.25
  00:00 20 Apr 2015,  72440,  2.61,  0.98,  0.75,  108.79,  25.30,  48.80,  0.00,  0.00,  0.00,  279.22,  16.58
  12:00 20 Apr 2015,  72440,  11.51,  10.98,  10.94,  101.98,  -15.90,  35.60,  0.47,  -71.62,  748.43,  760.53,  0.03,  273.33,  8.61
  00:00 21 Apr 2015,  72440,  9.37,  9.19,  9.11,  112.00,  9.50,  39.00,  0.86,  -6.23,  710.59,  722.72,  0.01,  264.78,  7.50
  12:00 21 Apr 2015,  72440,  4.49,  5.63,  5.57,  112.98,  21.20,  47.60,  0.00,  0.00,  0.00,  270.55,  11.13
  00:00 22 Apr 2015,  72440,  -0.51,  -1.07,  -1.19,  384.76,  30.80,  54.20,  347.58,  -4.16,  360.34,  777.23,  3.33,  276.86,  18.47
  12:00 22 Apr 2015,  72440,  7.31,  14.84,  14.82,  114.02,  20.40,  41.60,  0.00,  0.00,  0.00,  268.15,  16.08
  00:00 23 Apr 2015,  72440,  10.02,  11.45,  11.43,  81.00,  10.30,  35.00,  0.00,  0.00,  0.00,  266.96,  12.91
  12:00 23 Apr 2015,  72440,  10.19,  17.47,  17.50,  47.98,  16.30,  35.00,  0.00,  0.00,  0.00,  262.23,  15.09
  00:00 24 Apr 2015,  72440,  5.56,  11.38,  11.26,  98.40,  24.70,  42.40,  0.00,  0.00,  0.00,  268.66,  18.59
  12:00 24 Apr 2015,  72440,  -1.09,  10.65,  10.66,  367.39,  16.30,  50.40,  0.00,  0.00,  0.00,  274.95,  24.90
  00:00 25 Apr 2015,  72440,  3.84,  6.31,  6.51,  327.71,  22.70,  43.20,  0.00,  0.00,  0.00,  283.62,  27.89
  12:00 25 Apr 2015,  72440,  -1.23,  -2.86,  -3.10,  311.60,  28.50,  53.40,  422.60,  -152.16,  396.93,  705.43,  5.59,  286.35,  22.20
  00:00 26 Apr 2015,  72440,  2.87,  2.01,  1.67,  192.38,  28.80,  45.20,  17.37,  -21.68,  697.84,  783.54,  0.48,  281.44,  22.11
  12:00 26 Apr 2015,  72440,  5.38,  7.99,  7.83,  124.40,  16.50,  42.60,  0.00,  0.00,  903.69,  927.31,  0.00,  281.69,  19.61
  00:00 27 Apr 2015,  72440,  5.13,  9.05,  8.97,  97.39,  12.80,  43.70,  0.25,  -2.13,  862.94,  874.74,  0.00,  278.38,  16.80
  12:00 27 Apr 2015,  72440,  15.92,  14.95,  14.93,  42.02,  -20.90,  21.00,  0.00,  0.00,  0.00,  271.91,  8.29
  00:00 28 Apr 2015,  72440,  9.34,  9.60,  9.55,  60.00,  -15.30,  37.60,  0.00,  0.00,  0.00,  268.48,  9.04
  12:00 28 Apr 2015,  72440,  11.59,  11.71,  11.63,  65.02,  -9.50,  34.40,  0.00,  0.00,  0.00,  272.91,  9.62
  00:00 29 Apr 2015,  72440,  5.77,  5.43,  5.30,  53.01,  9.70,  43.80,  0.00,  0.00,  0.00,  272.31,  11.95
  12:00 29 Apr 2015,  72440,  5.10,  5.41,  5.28,  54.99,  5.10,  45.20,  0.00,  0.00,  0.00,  272.81,  11.12
  00:00 30 Apr 2015,  72440,  5.73,  5.27,  5.18,  60.99,  12.50,  42.80,  0.00,  0.00,  0.00,  271.34,  12.98
  12:00 30 Apr 2015,  72440,  9.09,  10.29,  10.16,  76.21,  -1.70,  36.40,  0.00,  0.00,  0.00,  274.34,  13.32
 
  12:00 01 May 2015,  72440,  12.16,  14.43,  14.38,  43.98,  -14.50,  31.60,  0.00,  0.00,  0.00,  270.02,  8.93
  00:00 02 May 2015,  72440,  10.14,  9.73,  9.59,  24.01,  -3.50,  34.40,  0.00,  0.00,  0.00,  270.65,  10.51
  12:00 02 May 2015,  72440,  7.18,  9.65,  9.54,  62.80,  21.40,  39.60,  0.00,  0.00,  0.00,  273.79,  19.40
  00:00 03 May 2015,  72440,  2.15,  2.03,  1.96,  110.59,  23.90,  47.20,  0.00,  0.00,  0.00,  278.04,  25.21
  12:00 03 May 2015,  72440,  -0.73,  2.82,  2.69,  323.96,  28.40,  50.90,  0.00,  0.00,  0.00,  280.53,  24.10
  00:00 04 May 2015,  72440,  -1.45,  -2.25,  -2.40,  227.62,  31.90,  52.20,  458.08,  -123.01,  228.02,  683.95,  18.72,  281.98,  28.51
  12:00 04 May 2015,  72440,  7.95,  0.03,  -0.03,  56.99,  12.10,  34.00,  2.44,  -371.52,  477.97,  628.20,  0.21,  283.61,  24.30
  00:00 05 May 2015,  72440,  -2.45,  -2.53,  -2.88,  242.42,  29.30,  52.40,  770.21,  -14.21,  223.07,  781.09,  149.15,  283.93,  30.32
  12:00 05 May 2015,  72440,  1.71,  1.44,  1.13,  171.21,  14.50,  46.60,  17.76,  -49.55,  723.37,  804.97,  180.76,  283.36,  22.30
  00:00 06 May 2015,  72440,  1.03,  0.08,  -0.37,  173.19,  32.10,  47.40,  129.68,  -31.65,  383.64,  746.69,  9.71,  282.22,  24.03
  12:00 06 May 2015,  72440,  -0.29,  1.29,  1.23,  233.60,  33.30,  49.40,  0.00,  0.00,  0.00,  283.79,  33.52
  00:00 07 May 2015,  72440,  1.05,  0.76,  0.35,  309.57,  32.50,  47.30,  4.59,  -65.12,  602.41,  631.15,  0.18,  281.56,  25.81
  12:00 07 May 2015,  72440,  -3.59,  -1.24,  -1.44,  335.18,  36.10,  53.90,  168.37,  -197.77,  422.02,  674.06,  12.05,  286.32,  33.20
  00:00 08 May 2015,  72440,  -1.25,  -1.30,  -1.80,  278.65,  34.40,  49.80,  240.00,  -9.83,  323.31,  734.80,  24.52,  283.68,  27.61
  12:00 08 May 2015,  72440,  0.79,  1.00,  0.99,  223.40,  35.50,  45.20,  55.07,  -42.09,  535.54,  806.39,  1.11,  288.83,  41.74
  00:00 09 May 2015,  72440,  -0.78,  -1.00,  -1.62,  301.43,  29.30,  46.80,  573.01,  -3.11,  254.50,  876.55,  19.89,  288.90,  28.76
  12:00 09 May 2015,  72440,  2.31,  2.20,  2.21,  162.61,  31.70,  44.20,  19.43,  -96.60,  615.76,  724.03,  1.65,  286.19,  35.33
  00:00 10 May 2015,  72440,  3.89,  -0.34,  -0.53,  163.00,  31.20,  42.40,  138.33,  -75.69,  461.24,  736.62,  11.24,  288.73,  37.07
  12:00 10 May 2015,  72440,  1.71,  1.86,  1.48,  226.94,  30.10,  47.60,  0.00,  0.00,  0.00,  282.57,  20.36
  00:00 11 May 2015,  72440,  0.16,  -2.18,  -2.53,  331.14,  30.10,  48.80,  126.74,  -128.50,  357.20,  604.58,  2.87,  287.07,  32.91
  12:00 11 May 2015,  72440,  1.95,  11.84,  11.68,  208.01,  0.10,  45.20,  0.00,  0.00,  0.00,  279.00,  18.10
  00:00 12 May 2015,  72440,  13.00,  11.02,  10.85,  133.99,  8.90,  29.40,  0.00,  0.00,  0.00,  276.69,  15.73
  12:00 12 May 2015,  72440,  16.82,  17.92,  17.86,  96.00,  -26.90,  21.00,  0.00,  0.00,  0.00,  272.19,  6.16
  00:00 13 May 2015,  72440,  15.59,  9.83,  9.68,  50.99,  -30.70,  13.40,  0.00,  0.00,  0.00,  273.68,  8.81
  12:00 13 May 2015,  72440,  14.77,  12.61,  12.49,  35.00,  -48.10,  12.60,  0.00,  0.00,  0.00,  275.14,  6.87
  00:00 14 May 2015,  72440,  12.72,  8.14,  8.12,  221.23,  16.10,  27.00,  0.00,  0.00,  0.00,  278.18,  27.18
  12:00 14 May 2015,  72440,  1.05,  6.18,  6.01,  296.69,  33.20,  46.10,  0.00,  0.00,  0.00,  283.84,  32.36
  00:00 15 May 2015,  72440,  -0.23,  -1.21,  -1.85,  350.14,  29.00,  46.70,  950.82,  -9.21,  204.29,  836.69,  23.73,  287.22,  28.42
  12:00 15 May 2015,  72440,  -0.84,  -3.24,  -3.91,  204.42,  30.00,  48.70,  1407.22,  -39.46,  190.65,  828.94,  413.09,  290.66,  31.40
  00:00 16 May 2015,  72440,  -3.50,  -4.71,  -5.02,  407.77,  36.80,  51.50,  1601.95,  -2.04,  174.20,  861.06,  50.48,  289.33,  42.49
  12:00 16 May 2015,  72440,  -1.33,  -2.80,  -3.01,  249.79,  36.80,  48.70,  1193.09,  -10.90,  228.46,  848.51,  130.03,  290.82,  40.68
  00:00 17 May 2015,  72440,  -1.92,  -3.65,  -4.43,  346.71,  26.50,  48.80,  1805.19,  -4.28,  182.10,  850.06,  27.87,  289.35,  31.73
  06:00 17 May 2015,  72440,  -3.97,  -5.97,  -6.31,  503.58,  32.20,  53.70,  1484.02,  -53.62,  169.78,  748.04,  21.67,  291.45,  37.90
  12:00 17 May 2015,  72440,  4.66,  3.80,  3.92,  197.20,  27.20,  40.60,  0.00,  0.00,  0.00,  287.22,  37.81
  00:00 18 May 2015,  72440,  12.10,  0.86,  0.41,  91.98,  -10.70,  27.40,  274.51,  -54.83,  384.64,  774.88,  5.93,  287.66,  17.86
  12:00 18 May 2015,  72440,  -0.17,  -5.28,  -5.73,  180.19,  4.50,  49.80,  1299.76,  -20.49,  292.25,  855.74,  947.62,  290.61,  23.81
  00:00 19 May 2015,  72440,  5.33,  -2.21,  -2.71,  72.01,  10.70,  41.40,  578.26,  -21.86,  291.76,  806.77,  37.16,  287.75,  21.21
  12:00 19 May 2015,  72440,  4.53,  15.44,  15.33,  116.79,  21.10,  41.40,  0.00,  0.00,  0.00,  278.81,  17.26
  00:00 20 May 2015,  72440,  0.94,  5.80,  5.89,  192.80,  27.30,  45.60,  0.00,  0.00,  0.00,  282.16,  29.09
  12:00 20 May 2015,  72440,  2.64,  8.23,  8.28,  257.76,  33.20,  43.20,  0.00,  0.00,  0.00,  284.65,  37.59
  00:00 21 May 2015,  72440,  8.40,  10.45,  10.32,  159.61,  12.90,  35.80,  0.14,  0.00,  906.35,  938.08,  0.00,  283.20,  20.89
  12:00 21 May 2015,  72440,  17.21,  18.23,  18.18,  99.01,  -2.30,  23.80,  0.02,  0.00,  913.79,  926.83,  0.00,  277.93,  14.15
  00:00 22 May 2015,  72440,  10.88,  10.61,  10.58,  81.58,  7.60,  34.30,  0.00,  0.00,  0.00,  275.24,  13.42
  12:00 22 May 2015,  72440,  16.71,  13.49,  13.44,  68.01,  -4.10,  15.60,  0.00,  0.00,  0.00,  274.44,  14.10
  00:00 23 May 2015,  72440,  14.89,  8.42,  8.60,  225.12,  5.80,  18.40,  0.00,  0.00,  0.00,  278.93,  23.02
  12:00 23 May 2015,  72440,  -0.03,  8.61,  8.50,  184.00,  35.40,  47.20,  0.00,  0.00,  0.00,  280.29,  31.68
  00:00 24 May 2015,  72440,  -0.58,  0.32,  -0.09,  225.01,  36.90,  48.80,  22.93,  -200.23,  474.19,  564.08,  0.56,  286.42,  36.66
  12:00 24 May 2015,  72440,  -1.08,  0.45,  0.44,  310.40,  36.00,  47.00,  70.41,  -66.76,  520.91,  746.25,  1.68,  289.66,  43.19
  00:00 25 May 2015,  72440,  2.49,  2.56,  2.64,  228.02,  31.70,  42.80,  0.00,  -102.11,  662.68,  663.38,  0.00,  287.91,  39.60
  12:00 25 May 2015,  72440,  4.23,  0.49,  0.04,  199.96,  12.30,  43.00,  39.76,  -118.46,  428.97,  760.71,  1.95,  287.14,  19.94
  00:00 26 May 2015,  72440,  -0.03,  -3.11,  -3.78,  190.39,  17.30,  48.20,  1004.03,  -19.49,  259.25,  783.10,  93.34,  287.08,  23.80
  12:00 26 May 2015,  72440,  4.87,  4.64,  4.35,  206.61,  27.90,  39.80,  22.67,  -0.06,  666.88,  903.62,  0.78,  286.33,  27.92
  00:00 27 May 2015,  72440,  2.42,  -3.84,  -4.12,  128.80,  27.90,  47.00,  1228.80,  -25.87,  239.86,  787.42,  25.19,  285.34,  26.72
  12:00 27 May 2015,  72440,  -2.36,  -3.77,  -4.27,  260.42,  37.50,  51.90,  1132.95,  -26.63,  225.93,  839.26,  117.85,  289.58,  34.09
  00:00 28 May 2015,  72440,  -1.83,  -4.01,  -4.63,  204.81,  35.80,  50.50,  1524.43,  -12.34,  192.88,  829.87,  110.61,  287.87,  33.52
  12:00 28 May 2015,  72440,  0.62,  -3.88,  -4.44,  156.19,  30.30,  47.40,  1285.91,  -27.84,  186.67,  847.37,  119.94,  290.60,  35.38
  00:00 29 May 2015,  72440,  0.72,  -1.65,  -1.77,  179.80,  33.20,  45.50,  428.26,  -15.49,  229.22,  860.41,  16.96,  290.44,  39.41
  12:00 29 May 2015,  72440,  -1.50,  0.01,  -0.36,  241.42,  36.30,  47.30,  252.14,  -81.74,  281.55,  791.71,  13.97,  289.40,  41.78
  00:00 30 May 2015,  72440,  2.75,  0.59,  0.59,  205.99,  30.80,  42.50,  77.24,  -45.67,  564.50,  805.19,  1.51,  289.31,  41.85
  12:00 30 May 2015,  72440,  3.18,  1.63,  1.47,  164.19,  28.80,  42.10,  66.84,  -0.47,  563.47,  895.61,  4.85,  289.56,  35.27
  00:00 31 May 2015,  72440,  2.61,  3.23,  2.84,  177.20,  23.60,  42.90,  0.00,  0.00,  0.00,  287.78,  27.60
  12:00 31 May 2015,  72440,  2.49,  3.17,  2.92,  129.78,  25.90,  45.00,  0.00,  0.00,  915.82,  931.57,  0.00,  286.34,  25.75
 
  12:00 01 Jun 2015,  72440,  4.45,  5.51,  5.34,  133.22,  5.10,  43.00,  0.00,  0.00,  928.93,  939.82,  0.00,  284.34,  21.42
  00:00 02 Jun 2015,  72440,  6.93,  6.37,  6.06,  140.20,  8.30,  36.80,  0.31,  -10.33,  842.10,  852.78,  0.03,  284.38,  21.38
  12:00 02 Jun 2015,  72440,  5.96,  7.11,  6.94,  134.00,  22.70,  38.80,  0.00,  0.00,  0.00,  285.75,  19.02
  00:00 03 Jun 2015,  72440,  3.61,  1.55,  1.34,  127.38,  19.90,  42.40,  0.00,  0.00,  0.00,  285.52,  30.17
  12:00 03 Jun 2015,  72440,  -2.10,  1.14,  1.03,  201.19,  32.20,  49.10,  1.48,  -315.35,  531.17,  550.19,  0.03,  288.89,  38.92
  00:00 04 Jun 2015,  72440,  -1.91,  -3.98,  -4.45,  238.22,  30.10,  50.00,  1113.61,  -89.77,  192.51,  729.04,  12.12,  289.98,  36.51
  12:00 04 Jun 2015,  72440,  -2.52,  -3.03,  -3.62,  220.58,  34.10,  50.20,  708.21,  -79.21,  211.13,  725.40,  27.93,  290.67,  37.36
  00:00 05 Jun 2015,  72440,  -3.23,  -5.78,  -6.61,  289.42,  24.60,  51.70,  1842.36,  -60.83,  169.89,  675.21,  20.72,  289.78,  33.39
  12:00 05 Jun 2015,  72440,  -1.82,  -4.35,  -5.03,  209.81,  33.70,  50.00,  1296.64,  -53.35,  191.18,  795.97,  87.50,  290.66,  37.53
  00:00 06 Jun 2015,  72440,  -1.77,  -2.62,  -3.45,  233.62,  36.00,  46.80,  1743.06,  -17.16,  193.87,  841.20,  42.79,  290.87,  43.77
  12:00 06 Jun 2015,  72440,  -1.21,  -0.75,  -1.29,  219.41,  23.30,  47.20,  311.60,  -127.73,  303.15,  658.73,  16.09,  289.51,  31.62
  00:00 07 Jun 2015,  72440,  -2.67,  -2.73,  -3.51,  211.40,  29.40,  49.70,  728.21,  -42.20,  188.63,  711.80,  39.44,  286.98,  35.64
  12:00 07 Jun 2015,  72440,  -1.76,  -4.42,  -4.79,  229.40,  21.70,  50.00,  1024.39,  -106.01,  220.65,  744.01,  341.60,  291.50,  30.93
  00:00 08 Jun 2015,  72440,  -0.86,  -2.86,  -3.29,  327.74,  17.30,  48.20,  747.17,  -44.11,  223.59,  695.92,  73.48,  286.75,  31.90
  12:00 08 Jun 2015,  72440,  -1.34,  -2.46,  -2.60,  253.22,  39.40,  48.00,  474.16,  -73.75,  236.70,  749.14,  69.19,  289.56,  46.05
  00:00 09 Jun 2015,  72440,  3.22,  2.13,  1.59,  169.41,  20.50,  41.60,  130.18,  -218.35,  241.13,  444.77,  30.69,  283.49,  21.10
  12:00 09 Jun 2015,  72440,  2.32,  3.25,  2.87,  180.59,  18.30,  43.00,  0.00,  0.00,  0.00,  283.61,  25.93
  00:00 10 Jun 2015,  72440,  0.04,  -0.40,  -0.99,  170.79,  28.90,  47.00,  331.57,  -39.71,  252.02,  695.98,  19.99,  283.50,  27.57
  12:00 10 Jun 2015,  72440,  -0.71,  -1.01,  -1.72,  193.20,  37.00,  47.60,  991.69,  -116.13,  218.96,  737.83,  28.53,  287.21,  29.86
  00:00 11 Jun 2015,  72440,  -0.28,  -2.63,  -3.48,  180.99,  37.10,  47.20,  1370.60,  -33.53,  201.01,  755.96,  76.52,  287.09,  34.40
  12:00 11 Jun 2015,  72440,  0.14,  -0.49,  -1.18,  205.39,  30.90,  45.40,  260.50,  -110.30,  275.16,  743.88,  17.13,  288.82,  28.29
  00:00 12 Jun 2015,  72440,  3.74,  -2.11,  -2.40,  283.88,  25.90,  42.40,  192.44,  -112.88,  328.77,  624.99,  7.84,  285.68,  36.39
  12:00 12 Jun 2015,  72440,  -3.23,  -4.04,  -4.80,  271.40,  19.10,  49.40,  1148.37,  -36.73,  224.08,  822.37,  197.73,  292.59,  38.33
  00:00 13 Jun 2015,  72440,  -2.47,  -2.89,  -3.87,  311.37,  30.00,  47.70,  1377.03,  -12.92,  217.48,  808.65,  157.46,  289.75,  36.02
  12:00 13 Jun 2015,  72440,  -2.41,  -3.24,  -3.74,  277.00,  32.90,  47.80,  801.08,  -7.47,  229.21,  872.45,  100.65,  292.41,  41.05
  00:00 14 Jun 2015,  72440,  -0.01,  -1.66,  -1.97,  316.55,  33.40,  44.90,  325.31,  -27.43,  310.23,  807.82,  21.27,  290.95,  45.15
  12:00 14 Jun 2015,  72440,  -0.21,  -1.78,  -2.01,  244.60,  37.20,  45.10,  474.43,  -17.95,  250.73,  819.54,  165.14,  292.52,  47.69
  00:00 15 Jun 2015,  72440,  -0.76,  -2.95,  -3.83,  320.37,  33.30,  44.60,  1346.91,  -2.17,  189.38,  859.74,  64.69,  291.92,  43.52
  12:00 15 Jun 2015,  72440,  -1.08,  -2.30,  -2.53,  262.77,  39.20,  46.30,  532.30,  -32.34,  269.30,  815.36,  143.10,  292.58,  51.69
  00:00 16 Jun 2015,  72440,  0.11,  -3.12,  -3.45,  284.52,  34.30,  44.40,  1210.14,  -6.55,  192.99,  852.38,  79.20,  293.34,  50.17
  12:00 16 Jun 2015,  72440,  -0.69,  -1.43,  -1.73,  246.42,  38.10,  44.70,  677.34,  -0.07,  230.16,  913.43,  34.33,  293.22,  52.31
  00:00 17 Jun 2015,  72440,  1.44,  -0.63,  -0.88,  305.24,  35.00,  42.80,  181.85,  -47.91,  269.58,  771.85,  8.12,  289.98,  47.94
  12:00 17 Jun 2015,  72440,  2.47,  -0.59,  -0.68,  236.38,  34.50,  41.60,  168.73,  -42.18,  249.32,  771.03,  10.26,  292.06,  51.64
  00:00 18 Jun 2015,  72440,  5.30,  -2.62,  -2.98,  130.39,  22.50,  38.60,  1062.28,  -5.32,  205.20,  877.55,  57.68,  293.23,  38.75
  12:00 18 Jun 2015,  72440,  -0.49,  -0.50,  -0.66,  230.59,  38.10,  44.70,  211.78,  -35.92,  289.81,  777.86,  17.54,  291.87,  52.19
  00:00 19 Jun 2015,  72440,  -0.20,  -0.91,  -1.02,  238.42,  35.50,  43.20,  289.73,  -1.06,  218.28,  887.96,  101.57,  292.82,  54.51
  12:00 19 Jun 2015,  72440,  0.60,  -0.84,  -1.00,  266.99,  33.20,  42.80,  177.23,  0.00,  363.76,  928.50,  29.80,  292.81,  50.36
  00:00 20 Jun 2015,  72440,  1.80,  -0.02,  -0.80,  232.82,  27.80,  40.50,  564.60,  -13.33,  228.88,  864.75,  56.32,  291.98,  32.71
  12:00 20 Jun 2015,  72440,  2.70,  -1.82,  -2.54,  163.79,  10.90,  43.00,  672.99,  -232.81,  205.38,  615.94,  44.36,  290.78,  25.44
  00:00 21 Jun 2015,  72440,  3.05,  -3.97,  -4.89,  152.79,  20.50,  43.20,  1928.70,  -91.79,  178.17,  726.19,  252.16,  289.49,  32.27
  12:00 21 Jun 2015,  72440,  -0.90,  -4.99,  -5.71,  198.20,  27.30,  49.40,  1464.15,  -221.36,  192.76,  690.14,  86.17,  292.66,  31.73
  00:00 22 Jun 2015,  72440,  -4.03,  -6.35,  -7.12,  311.02,  25.30,  52.20,  2127.62,  -9.82,  166.71,  815.14,  154.34,  290.66,  38.16
  12:00 22 Jun 2015,  72440,  -2.17,  -3.15,  -4.15,  270.39,  22.70,  47.40,  1913.97,  -0.71,  160.98,  903.37,  59.72,  293.96,  35.92
  00:00 23 Jun 2015,  72440,  -3.21,  -4.84,  -5.99,  298.39,  8.40,  47.90,  2894.96,  -0.17,  141.50,  854.23,  115.49,  292.57,  34.14
  12:00 23 Jun 2015,  72440,  -4.35,  -6.06,  -6.99,  341.19,  39.50,  52.40,  2411.46,  -102.14,  156.75,  717.18,  89.53,  293.19,  42.39
  00:00 24 Jun 2015,  72440,  -6.48,  -7.88,  -9.07,  349.38,  38.00,  53.50,  4231.85,  -9.00,  138.68,  857.79,  235.10,  293.85,  46.41
  12:00 24 Jun 2015,  72440,  3.58,  -5.55,  -6.25,  115.01,  23.90,  42.80,  2399.15,  -66.25,  161.29,  785.82,  664.88,  293.25,  32.16
  00:00 25 Jun 2015,  72440,  1.90,  -4.74,  -5.84,  271.92,  27.30,  44.40,  2727.56,  -35.01,  161.11,  767.44,  117.83,  290.57,  32.90
  12:00 25 Jun 2015,  72440,  4.68,  -4.73,  -5.72,  127.80,  24.90,  41.00,  2158.35,  -98.61,  170.94,  752.05,  154.42,  292.77,  31.75
  00:00 26 Jun 2015,  72440,  -5.40,  -7.15,  -8.27,  322.20,  32.50,  53.60,  2897.61,  -3.06,  167.89,  819.61,  1836.20,  291.29,  38.55
  12:00 26 Jun 2015,  72440,  -1.89,  1.75,  1.32,  241.79,  36.50,  46.90,  11.80,  -279.26,  516.99,  612.31,  0.08,  288.93,  43.17
  00:00 27 Jun 2015,  72440,  0.95,  -1.82,  -2.66,  230.81,  29.90,  43.60,  619.23,  -4.42,  261.05,  875.92,  23.38,  291.66,  37.87
  12:00 27 Jun 2015,  72440,  6.11,  1.49,  1.01,  148.79,  8.30,  38.80,  4.07,  -0.06,  762.22,  909.20,  0.34,  289.59,  25.47
  00:00 28 Jun 2015,  72440,  3.96,  2.37,  1.93,  151.01,  19.10,  41.40,  21.49,  -9.25,  313.13,  800.55,  2.15,  283.81,  23.61
